Kurs EUR,Data i Godzina,Czas wykonania

4.3942,19.08.2020 20:31:28,113
4.3942,19.08.2020 20:31:29,210
4.3942,19.08.2020 20:31:30,111
4.3942,19.08.2020 20:31:31,113
4.3942,19.08.2020 20:31:33,121
4.3942,19.08.2020 20:31:34,110
4.3942,19.08.2020 20:31:35,110
4.3942,19.08.2020 20:31:36,107
4.3942,19.08.2020 20:31:37,106
4.3942,19.08.2020 20:31:38,114
4.3942,19.08.2020 20:31:39,112
4.3942,19.08.2020 20:31:40,106
4.3942,19.08.2020 20:31:42,102
4.3942,19.08.2020 20:31:43,117
4.3942,19.08.2020 20:31:44,104
4.3942,19.08.2020 20:31:45,156
4.3942,19.08.2020 20:31:46,108
4.3942,19.08.2020 20:31:47,109
4.3942,19.08.2020 20:31:48,108
4.3942,19.08.2020 20:31:49,105
4.3942,19.08.2020 20:31:51,117
4.3942,19.08.2020 20:31:52,131
